user_id,timestamp,dwell_mean,dwell_std,dwell_cv,flight_mean,flight_std,flight_cv,timing_entropy,total_duration,wpm,dg_th,dg_he,dg_qu,dg_br,dg_ow,dg_fo,dg_ju,dg_ov,dg_er,dg_la,dg_sp,tg_the,tg_bro,tg_own,tg_ove,tg_ver,kd_e,kd_o,kd_t,kd_h,kd_r,kd_u,kd_space,backspace_rate
user2,2026-02-24T19:52:02.880321,114.83,20.89,0.182,321.47,271.08,0.8432,1.1477,13501.9,31.11,199.84,236.08,281.06,328.35,224.92,180.05,218.59,321.82,176.29,0.0,226.55,435.91,581.96,456.63,479.13,333.6,122.45,122.11,88.4,121.46,114.17,87.82,104.43,0.0
user2,2026-02-24T19:54:51.395395,127.71,30.04,0.2352,290.43,194.72,0.6705,1.5055,12197.87,34.43,216.35,117.16,313.54,217.37,202.67,231.6,222.46,287.58,321.61,220.44,219.42,333.51,559.36,429.48,456.93,490.96,161.54,116.86,96.89,114.74,128.89,85.65,113.09,0.0
user2,2026-02-24T19:55:09.847988,121.26,28.82,0.2377,308.25,258.54,0.8387,1.2466,12946.67,32.44,263.97,249.48,282.28,232.44,1061.71,220.54,195.68,339.22,156.5,224.72,274.37,513.46,490.41,1240.69,501.58,318.86,155.25,113.19,98.71,118.86,104.69,86.8,109.13,0.0
user2,2026-02-24T19:55:25.646925,121.7,30.01,0.2466,274.81,163.56,0.5952,1.7697,11542.09,36.39,193.57,95.24,226.95,238.56,205.45,210.89,213.46,304.38,177.39,227.15,308.15,288.82,508.73,395.31,465.21,338.22,162.44,119.14,97.73,118.57,105.18,99.49,102.59,0.0
user2,2026-02-24T19:56:11.833229,122.23,32.94,0.2695,337.38,230.71,0.6838,1.8939,14844.69,29.1,415.34,165.75,256.1,196.19,209.14,220.99,211.56,338.92,214.21,183.76,224.52,581.08,447.54,415.33,483.84,359.13,163.98,112.47,95.49,133.92,117.65,85.26,103.18,0.0278
user2,2026-02-24T19:56:30.276544,131.41,29.08,0.2213,259.76,125.95,0.4849,2.1119,10909.81,38.5,405.23,149.24,313.9,221.97,253.29,208.56,202.81,279.97,237.61,204.24,198.01,554.47,540.45,451.49,426.64,384.28,168.21,129.76,120.13,119.36,117.68,91.03,112.78,0.0
user2,2026-02-24T19:56:49.849424,118.41,25.36,0.2141,254.22,138.91,0.5464,1.8833,10677.19,39.34,195.15,163.73,334.33,224.7,203.06,184.51,192.36,324.81,125.77,182.76,187.55,358.87,437.11,376.42,492.97,293.93,149.19,108.57,93.19,114.43,124.66,93.83,103.98,0.0
user2,2026-02-24T19:57:16.464726,128.1,26.3,0.2053,251.01,128.47,0.5118,1.9119,10542.49,39.84,257.75,373.71,346.3,212.41,227.89,205.56,225.53,290.42,202.1,179.09,204.31,631.45,499.13,397.39,421.68,333.36,142.89,114.37,131.89,123.27,131.28,96.16,116.92,0.0
user2,2026-02-24T19:57:36.564164,112.93,32.01,0.2834,257.83,114.27,0.4432,2.4218,10829.06,38.78,205.92,119.52,275.78,357.34,220.01,243.65,216.95,311.56,175.56,192.92,219.44,325.44,623.72,410.02,454.66,318.66,160.68,95.83,90.5,99.46,123.49,87.74,89.83,0.0
user2,2026-02-24T19:58:00.886990,116.52,74.31,0.6378,325.88,270.21,0.8292,1.7686,16293.83,28.72,205.7,76.72,259.58,167.7,230.95,223.29,213.43,285.13,120.41,176.7,259.93,282.42,406.69,422.94,415.94,251.21,136.88,98.8,91.55,101.46,104.18,83.66,102.83,0.1026
user2,2026-02-24T19:58:14.046166,121.41,34.56,0.2846,249.18,123.31,0.4949,2.4083,10465.68,40.13,200.86,112.97,293.86,165.53,206.5,212.36,200.79,336.49,150.27,203.48,237.69,313.83,383.92,459.48,430.71,244.48,156.34,90.95,93.5,112.24,121.51,87.26,108.19,0.0
user2,2026-02-24T19:58:27.546839,125.83,38.48,0.3058,233.46,115.26,0.4937,1.9238,9805.2,42.83,166.09,187.42,251.0,107.36,231.53,209.06,210.96,306.08,136.83,182.92,198.76,353.52,413.64,436.52,463.6,294.35,155.51,106.71,117.39,97.91,126.18,96.97,109.01,0.0
user2,2026-02-24T19:58:55.935068,120.76,33.12,0.2743,243.0,108.76,0.4476,2.2015,10206.18,41.15,227.19,119.89,279.01,205.98,205.62,264.9,177.32,350.62,146.25,189.66,204.13,347.07,494.89,386.56,518.79,314.42,165.46,118.54,98.19,115.85,123.05,92.68,100.06,0.0
user2,2026-02-24T20:00:11.956325,125.2,31.76,0.2537,234.74,103.52,0.441,2.0722,9859.26,42.6,180.46,120.24,287.24,232.17,229.02,212.07,192.53,308.07,202.03,189.81,194.59,300.7,428.88,427.94,417.58,311.54,169.46,106.91,95.42,110.26,131.24,82.74,114.45,0.0
user2,2026-02-24T20:02:29.138844,124.86,29.76,0.2384,285.22,206.11,0.7226,1.462,16013.13,26.98,213.09,140.62,290.85,275.38,236.41,247.77,209.61,296.9,184.86,187.52,220.47,353.7,479.34,489.03,431.37,319.32,166.33,126.6,105.18,117.27,114.92,101.18,108.98,0.0278
user2,2026-02-24T20:02:45.805590,125.42,27.88,0.2222,266.77,114.95,0.4309,2.3203,11204.55,37.48,227.37,178.23,340.49,287.61,263.19,229.22,211.66,317.9,174.57,230.08,212.26,405.61,686.84,463.84,498.34,355.01,154.51,112.14,96.35,131.16,107.06,101.44,114.03,0.0
user2,2026-02-24T20:03:17.671547,119.13,33.24,0.2791,316.44,230.66,0.7289,1.5439,13290.3,31.6,224.64,308.21,237.94,552.72,185.8,227.74,210.28,383.25,157.43,219.78,280.18,532.84,865.25,397.11,529.24,303.42,162.08,96.95,101.65,109.55,103.03,93.63,103.13,0.0
user2,2026-02-24T20:04:16.949932,120.65,31.26,0.2591,240.47,107.3,0.4462,2.0594,10099.84,41.58,207.07,127.56,304.11,171.78,278.52,213.95,177.97,307.47,215.36,217.75,204.17,334.63,401.93,467.0,455.39,363.28,157.83,106.12,106.48,112.35,117.27,99.61,98.67,0.0
user2,2026-02-24T20:04:42.851520,128.15,41.59,0.3245,297.75,159.3,0.535,2.1415,12505.47,33.59,216.9,493.88,221.73,335.06,232.01,194.61,224.06,319.38,157.81,282.76,204.54,710.78,1086.67,402.61,487.79,326.21,156.9,104.77,186.89,169.96,88.68,98.65,104.79,0.0
user2,2026-02-24T20:05:00.624841,124.86,33.2,0.2659,259.27,117.34,0.4526,2.2227,10889.3,38.57,170.15,410.25,279.63,166.73,261.35,218.71,193.03,355.7,173.66,296.75,195.93,580.4,454.52,497.08,502.19,320.15,153.13,105.89,159.33,158.32,123.18,108.84,101.24,0.0
user2,2026-02-24T20:09:04.414600,124.86,31.2,0.2499,242.48,126.25,0.5207,1.996,10184.01,41.24,183.05,112.17,208.09,147.35,193.6,231.08,207.01,277.07,147.33,178.06,200.98,295.22,417.03,388.78,437.75,308.01,154.99,110.92,93.41,108.13,134.67,99.01,106.64,0.0
user2,2026-02-24T20:09:25.366990,119.86,31.94,0.2665,273.43,194.44,0.7111,1.4078,11483.94,36.57,208.45,251.32,311.3,169.75,228.98,346.91,192.91,284.34,130.56,111.44,223.27,459.76,461.62,385.85,402.93,249.16,142.42,107.5,102.33,117.17,126.91,100.19,93.9,0.0
user2,2026-02-24T20:20:22.114978,118.9,26.86,0.2259,240.9,110.95,0.4606,2.1652,10117.7,41.51,206.64,378.93,261.9,178.86,270.21,172.0,194.32,301.47,183.41,193.06,210.02,585.57,420.19,433.87,444.63,326.57,149.76,109.21,97.01,112.98,118.17,87.05,104.65,0.0
user2,2026-02-24T20:20:39.796873,120.46,33.02,0.2741,272.59,201.5,0.7392,1.4847,12539.29,35.41,175.42,335.14,339.27,120.78,241.7,254.05,178.78,266.16,127.76,214.86,180.16,510.56,350.66,443.22,394.58,256.19,145.66,108.77,120.49,94.57,122.32,92.29,97.17,0.0541
user2,2026-02-24T20:20:52.964132,120.69,28.55,0.2365,266.02,263.39,0.9901,0.617,11172.96,37.59,215.12,171.23,297.5,180.42,281.68,186.78,180.5,322.59,208.89,141.29,189.18,386.35,441.18,475.65,514.28,400.57,153.79,113.97,96.4,100.97,123.53,94.04,104.64,0.0
user2,2026-02-24T20:22:52.372446,119.94,27.03,0.2254,307.9,208.79,0.6781,1.6994,13547.5,31.89,218.96,193.09,257.18,125.82,248.5,188.41,191.59,332.64,163.96,164.65,209.81,446.3,422.53,423.33,458.04,289.36,148.64,100.91,92.3,123.98,127.21,93.08,110.41,0.0278
user2,2026-02-24T20:23:06.017741,111.81,30.87,0.2761,248.37,180.87,0.7282,1.365,10431.74,40.26,225.85,113.24,201.14,149.85,251.4,172.12,194.71,1198.57,628.51,165.81,192.73,339.08,370.5,387.04,1357.42,787.36,155.55,91.87,103.92,88.57,133.53,81.76,97.04,0.0
